/* Session name: 14_20
* Created at: 2009-05-17 05:00:30 +0200
* Loaded parameters: config_1
* 
* start_date = 2008-09-14;
* stop_date = 2008-09-20;
*/
flights = {
<0, "733", 2, 325, 715, 340, Medium, 100, 150>
<1, "734", 2, 345, 745, 355, Medium, 140, 163>
<2, "733", 2, 380, 765, 350, Medium, 92, 99>
<3, "733", 2, 405, 835, 395, Medium, 136, 131>
<4, "AR8", 1, 415, 585, 125, Short, 53, 47>
<5, "AR1", 1, 425, 615, 160, Short, 64, 35>
<6, "AR1", 1, 460, 820, 300, Short, 61, 70>
<7, "AR1", 1, 470, 800, 290, Short, 87, 107>
<8, "AR8", 1, 485, 750, 225, Short, 80, 71>
<9, "734", 2, 495, 745, 215, Short, 77, 138>
<10, "AR8", 1, 500, 875, 340, Short, 65, 72>
<11, "AR8", 1, 505, 695, 160, Short, 56, 85>
<12, "733", 2, 515, 1895, 120, Short, 103, 57>
<13, "AR8", 1, 520, 720, 170, Short, 73, 46>
<14, "733", 2, 525, 825, 260, Short, 127, 133>
<15, "319", 0, 525, 990, 420, Medium, 98, 79>
<16, "AR1", 1, 530, 830, 270, Short, 58, 71>
<17, "734", 2, 535, 875, 310, Medium, 158, 157>
<18, "AR1", 1, 535, 765, 190, Short, 95, 83>
<19, "734", 2, 540, 920, 340, Medium, 133, 157>
<20, "146", 1, 540, 750, 180, Short, 74, 82>
<21, "AR8", 1, 545, 860, 275, Short, 70, 83>
<22, "734", 2, 565, 940, 340, Medium, 114, 137>
<23, "146", 1, 585, 860, 245, Short, 79, 72>
<24, "AR8", 1, 585, 775, 160, Short, 58, 59>
<25, "AR1", 1, 585, 840, 215, Short, 80, 77>
<26, "319", 0, 590, 920, 290, Short, 86, 143>
<27, "AR8", 1, 620, 875, 220, Short, 61, 94>
<28, "AR8", 1, 630, 895, 225, Short, 75, 84>
<29, "AR8", 1, 650, 885, 205, Short, 77, 83>
<30, "319", 0, 660, 970, 270, Short, 109, 123>
<31, "734", 2, 685, 1065, 340, Medium, 136, 164>
<32, "AR1", 1, 690, 935, 215, Short, 64, 80>
<33, "AR1", 1, 700, 985, 245, Short, 70, 109>
<34, "733", 2, 745, 995, 215, Short, 69, 149>
<35, "733", 2, 755, 980, 195, Short, 113, 101>
<36, "AR8", 1, 755, 925, 140, Short, 48, 57>
<37, "AR8", 1, 760, 1060, 270, Short, 46, 75>
<38, "AR8", 1, 775, 1150, 340, Short, 77, 55>
<39, "AR8", 1, 775, 975, 170, Short, 57, 77>
<40, "AR1", 1, 785, 995, 180, Short, 68, 72>
