/* Session name: 7_27
* Created at: 2009-05-17 05:07:41 +0200
* Loaded parameters: config_1
* 
* start_date = 2008-09-07;
* stop_date = 2008-09-27;
*/
flights = {
<0, "733", 2, 325, 715, 340, Medium, 113, 114>
<1, "734", 2, 340, 525, 120, Short, 46, 62>
<2, "734", 2, 345, 745, 355, Medium, 128, 117>
<3, "733", 2, 380, 765, 350, Medium, 105, 108>
<4, "733", 2, 405, 835, 395, Medium, 125, 137>
<5, "AR1", 1, 415, 585, 125, Short, 70, 50>
<6, "733", 2, 425, 615, 160, Short, 69, 40>
<7, "AR8", 1, 460, 820, 300, Short, 86, 48>
<8, "AR8", 1, 470, 800, 290, Short, 82, 71>
<9, "AR8", 1, 485, 750, 225, Short, 69, 51>
<10, "734", 2, 495, 745, 215, Short, 90, 73>
<11, "AR8", 1, 500, 875, 340, Short, 40, 51>
<12, "AR8", 1, 505, 695, 160, Short, 54, 51>
<13, "733", 2, 515, 1895, 120, Short, 136, 98>
<14, "AR1", 1, 520, 720, 170, Short, 66, 54>
<15, "733", 2, 525, 825, 260, Short, 123, 128>
<16, "319", 0, 525, 990, 420, Medium, 78, 83>
<17, "AR1", 1, 530, 830, 270, Short, 79, 75>
<18, "AR1", 1, 535, 765, 190, Short, 95, 77>
<19, "734", 2, 535, 875, 310, Medium, 117, 130>
<20, "146", 1, 540, 750, 180, Short, 63, 61>
<21, "734", 2, 540, 920, 340, Medium, 134, 138>
<22, "AR8", 1, 545, 860, 275, Short, 97, 75>
<23, "734", 2, 565, 940, 340, Medium, 115, 136>
<24, "146", 1, 585, 860, 245, Short, 62, 66>
<25, "AR8", 1, 585, 840, 215, Short, 72, 79>
<26, "AR8", 1, 585, 775, 160, Short, 77, 62>
<27, "319", 0, 590, 920, 290, Short, 95, 100>
<28, "AR1", 1, 620, 875, 220, Short, 77, 76>
<29, "AR8", 1, 630, 895, 225, Short, 48, 70>
<30, "AR1", 1, 650, 885, 205, Short, 98, 66>
<31, "319", 0, 660, 970, 270, Short, 117, 124>
<32, "734", 2, 685, 1065, 340, Medium, 108, 132>
<33, "AR8", 1, 690, 935, 215, Short, 60, 78>
<34, "AR1", 1, 700, 985, 245, Short, 71, 98>
<35, "733", 2, 745, 995, 215, Short, 94, 110>
<36, "733", 2, 755, 980, 195, Short, 83, 93>
<37, "AR8", 1, 755, 925, 140, Short, 48, 42>
<38, "AR8", 1, 760, 1060, 270, Short, 47, 57>
<39, "AR1", 1, 775, 1150, 340, Short, 55, 53>
<40, "AR1", 1, 775, 975, 170, Short, 55, 65>
<41, "AR8", 1, 785, 995, 180, Short, 59, 66>
<42, "AR8", 1, 790, 1065, 220, Short, 81, 83>
<43, "AR8", 1, 795, 1035, 210, Short, 76, 72>
<44, "734", 2, 795, 1135, 280, Short, 177, 93>
<45, "AR1", 1, 805, 1080, 245, Short, 115, 81>
<46, "734", 2, 810, 1115, 260, Short, 111, 158>
<47, "733", 2, 810, 1150, 300, Short, 73, 73>
<48, "AR8", 1, 815, 1060, 215, Short, 69, 75>
<49, "146", 1, 815, 1015, 170, Short, 56, 59>
<50, "AR1", 1, 825, 1055, 190, Short, 71, 45>
<51, "AR8", 1, 840, 1085, 215, Short, 69, 46>
<52, "AR8", 1, 860, 1145, 255, Short, 61, 66>
<53, "319", 0, 870, 1060, 160, Short, 73, 48>
<54, "146", 1, 905, 1055, 120, Short, 52, 39>
<55, "AR8", 1, 915, 1125, 170, Short, 79, 56>
<56, "AR1", 1, 925, 1105, 150, Short, 50, 57>
<57, "733", 2, 935, 1100, 125, Short, 40, 44>
<58, "AR8", 1, 935, 1115, 150, Short, 62, 75>
<59, "AR1", 1, 955, 1155, 170, Short, 50, 65>
<60, "733", 2, 955, 1330, 340, Medium, 100, 117>
<61, "734", 2, 965, 1300, 295, Short, 77, 65>
<62, "AR1", 1, 965, 1925, 270, Short, 70, 47>
<63, "734", 2, 970, 1405, 400, Medium, 105, 139>
<64, "AR8", 1, 970, 1165, 135, Short, 54, 52>
<65, "AR1", 1, 975, 1200, 195, Short, 77, 55>
<66, "AR8", 1, 980, 1225, 195, Short, 41, 49>
<67, "734", 2, 985, 1380, 350, Medium, 89, 106>
<68, "319", 0, 1010, 1325, 270, Short, 78, 47>
<69, "AR8", 1, 1015, 1900, 140, Short, 39, 37>
<70, "AR8", 1, 1025, 1865, 170, Short, 43, 51>
<71, "733", 2, 1025, 1215, 155, Short, 130, 95>
<72, "319", 0, 1030, 1330, 260, Short, 86, 117>
<73, "AR8", 1, 1035, 1285, 220, Short, 57, 76>
<74, "AR1", 1, 1040, 1330, 250, Short, 95, 79>
<75, "319", 0, 1055, 1665, 550, Medium, 83, 121>
<76, "146", 1, 1060, 1280, 190, Short, 64, 62>
<77, "AR1", 1, 1070, 1275, 175, Short, 61, 56>
<78, "AR8", 1, 1075, 1290, 180, Short, 46, 67>
<79, "AR8", 1, 1100, 1290, 160, Short, 57, 44>
<80, "AR1", 1, 1100, 1295, 165, Short, 63, 47>
<81, "AR1", 1, 1110, 1875, 175, Short, 50, 58>
<82, "AR8", 1, 1110, 1285, 145, Short, 43, 45>
<83, "733", 2, 1115, 1850, 155, Short, 100, 57>
<84, "146", 1, 1115, 1860, 145, Short, 57, 61>
<85, "319", 0, 1120, 1365, 210, Short, 93, 91>
<86, "AR1", 1, 1125, 1910, 255, Short, 87, 43>
<87, "733", 2, 1140, 1875, 200, Short, 81, 44>
<88, "AR8", 1, 1155, 1895, 220, Short, 41, 53>
<89, "AR8", 1, 1155, 1890, 175, Short, 57, 46>
<90, "734", 2, 1160, 1930, 300, Short, 79, 77>
<91, "734", 2, 1170, 1900, 275, Short, 77, 42>
<92, "AR8", 1, 1170, 1860, 210, Short, 76, 62>
<93, "AR1", 1, 1175, 1855, 190, Short, 38, 40>
<94, "AR8", 1, 1190, 1860, 215, Short, 67, 76>
<95, "AR1", 1, 1190, 1885, 210, Short, 55, 43>
<96, "733", 2, 1195, 1900, 260, Short, 87, 77>
